Added Component: Designator=*1(SN74LVTH574)
Added Component: Designator=*2(SN74LVTH574)
Added Component: Designator=*3(SN74LVTH574)
Added Component: Designator=*4(SN74LVTH574)
Added Component: Designator=*5(SN74LVTH574)
Added Component: Designator=*6(SN74LVTH574)
Added Component: Designator=*7(SN74LVTH574)
Added Component: Designator=*8(SN74LVTH574)
Added Component: Designator=*9(LED_3264)
Added Component: Designator=*10(SN74LVTH574)
Added Component: Designator=*11(SN74LVTH574)
Added Component: Designator=*12(SN74LVTH574)
Added Component: Designator=*13(SN74LVTH574)
Added Component: Designator=*14(SN74LVTH574)
Added Component: Designator=*15(SN74LVTH574)
Added Component: Designator=*16(SN74LVTH574)
Added Component: Designator=*17(SN74LVTH574)
Added Component: Designator=a(SN74LVTH574)
Added Component: Designator=d(SN74LVTH574)
Added Pin To Net: NetName=Net*1_12 Pin=*1-12
Added Pin To Net: NetName=Net*1_13 Pin=*1-13
Added Pin To Net: NetName=Net*1_14 Pin=*1-14
Added Pin To Net: NetName=Net*1_15 Pin=*1-15
Added Pin To Net: NetName=Net*1_16 Pin=*1-16
Added Pin To Net: NetName=Net*1_17 Pin=*1-17
Added Pin To Net: NetName=Net*1_18 Pin=*1-18
Added Pin To Net: NetName=Net*1_19 Pin=*1-19
Added Pin To Net: NetName=Net*2_12 Pin=*2-12
Added Pin To Net: NetName=Net*2_13 Pin=*2-13
Added Pin To Net: NetName=Net*2_14 Pin=*2-14
Added Pin To Net: NetName=Net*2_15 Pin=*2-15
Added Pin To Net: NetName=Net*2_16 Pin=*2-16
Added Pin To Net: NetName=Net*2_17 Pin=*2-17
Added Pin To Net: NetName=Net*2_18 Pin=*2-18
Added Pin To Net: NetName=Net*2_19 Pin=*2-19
Added Pin To Net: NetName=Net*3_12 Pin=*3-12
Added Pin To Net: NetName=Net*3_13 Pin=*3-13
Added Pin To Net: NetName=Net*3_14 Pin=*3-14
Added Pin To Net: NetName=Net*3_15 Pin=*3-15
Added Pin To Net: NetName=Net*3_16 Pin=*3-16
Added Pin To Net: NetName=Net*3_17 Pin=*3-17
Added Pin To Net: NetName=Net*3_18 Pin=*3-18
Added Pin To Net: NetName=Net*3_19 Pin=*3-19
Added Pin To Net: NetName=Net*4_12 Pin=*4-12
Added Pin To Net: NetName=Net*4_13 Pin=*4-13
Added Pin To Net: NetName=Net*4_14 Pin=*4-14
Added Pin To Net: NetName=Net*4_15 Pin=*4-15
Added Pin To Net: NetName=Net*4_16 Pin=*4-16
Added Pin To Net: NetName=Net*4_17 Pin=*4-17
Added Pin To Net: NetName=Net*4_18 Pin=*4-18
Added Pin To Net: NetName=Net*4_19 Pin=*4-19
Added Pin To Net: NetName=Net*5_12 Pin=*5-12
Added Pin To Net: NetName=Net*5_13 Pin=*5-13
Added Pin To Net: NetName=Net*5_14 Pin=*5-14
Added Pin To Net: NetName=Net*5_15 Pin=*5-15
